productivity_index_bbl_per_day_psi,observation_index,times_days,times_years,cumulative_gas_scf,cumulative_gas_bscf,pressure_psia,z_factor,p_over_z_psia,fitted_p_over_z_psia,residual_p_over_z_psia
0.05,6,547.875,1.5,6875000000,6.875,3646.42325328,0.90128601928,4045.80030676,4045.77433857,0.0259681941461
0.05,7,639.1875,1.75,8020833333.33,8.02083333333,3590.50757776,0.898499884483,3996.11356637,3996.16234008,-0.0487737165145
0.05,8,730.5,2,9166666666.67,9.16666666667,3535.37503721,0.895839507555,3946.43795836,3946.5503416,-0.112383238285
0.05,9,821.8125,2.25,10312500000,10.3125,3480.99832277,0.893302872113,3896.77278719,3896.93834311,-0.165555920894
0.05,10,913.125,2.5,11458333333.3,11.4583333333,3427.3509005,0.890888051438,3847.11737346,3847.32634462,-0.208971161849
0.05,11,1004.4375,2.75,12604166666.7,12.6041666667,3374.40697461,0.888593205125,3797.47105328,3797.71434614,-0.243292852136
0.05,12,1095.75,3,13750000000,13.75,3322.14145207,0.886416575806,3747.8331777,3748.10234765,-0.269169946546
0.05,13,1187.0625,3.25,14895833333.3,14.8958333333,3270.52990852,0.884356485942,3698.2031121,3698.49034916,-0.287237059783
0.05,14,1278.375,3.5,16041666666.7,16.0416666667,3219.54855548,0.882411334684,3648.58023569,3648.87835068,-0.298114990861
0.05,15,1369.6875,3.75,17187500000,17.1875,3169.17420885,0.880579594817,3598.96394091,3599.26635219,-0.302411280422
0.05,16,1461,4,18333333333.3,18.3333333333,3119.38425869,0.878859809761,3549.35363302,3549.6543537,-0.300720684816
0.05,17,1552.3125,4.25,19479166666.7,19.4791666667,3070.15664015,0.877250590665,3499.74872952,3500.04235522,-0.293625701989
0.05,18,1643.625,4.5,20625000000,20.625,3021.46980561,0.875750613561,3450.1486597,3450.43035673,-0.281697027479
0.05,19,1734.9375,4.75,21770833333.3,21.7708333333,2973.30269805,0.874358616603,3400.55286423,3400.81835824,-0.265494018008
0.05,20,1826.25,5,22916666666.7,22.9166666667,2925.63472543,0.873073397374,3350.96079463,3351.20635976,-0.245565130519
0.05,21,1917.5625,5.25,24062500000,24.0625,2878.44573631,0.87189381028,3301.37191292,3301.59436127,-0.222448352285
0.05,22,2008.875,5.5,25208333333.3,25.2083333333,2831.71599642,0.870818764014,3251.78569117,3251.98236278,-0.196671613042
0.05,23,2100.1875,5.75,26354166666.7,26.3541666667,2785.42616642,0.8698472191,3202.20161111,3202.3703643,-0.168753186226
0.05,24,2191.5,6,27500000000,27.5,2739.55728054,0.86897818552,3152.61916374,3152.75836581,-0.139202073854
0.05,25,2282.8125,6.25,28645833333.3,28.6458333333,2694.0907263,0.868210720418,3103.03784893,3103.14636733,-0.108518393447
0.05,26,2374.125,6.5,29791666666.7,29.7916666667,2649.0082252,0.867543925877,3053.45717512,3053.53436884,-0.0771937231971
0.05,27,2465.4375,6.75,30937500000,30.9375,2604.29181426,0.866976946794,3003.87665887,3003.92237035,-0.0457114793603
0.05,28,2556.75,7,32083333333.3,32.0833333333,2559.92382858,0.86650896882,2954.29582462,2954.31037187,-0.0145472460176
0.05,29,2648.0625,7.25,33229166666.7,33.2291666667,2515.88688471,0.866139216387,2904.71420426,2904.69837338,0.0158308825507
0.05,30,2739.375,7.5,34375000000,34.375,2472.16386483,0.865866950817,2855.13133687,2855.08637489,0.044961974118
0.05,31,2830.6875,7.75,35520833333.3,35.5208333333,2428.73790186,0.865691468508,2805.54676835,2805.47437641,0.0723919448901
0.05,32,2922,8,36666666666.7,36.6666666667,2385.59236523,0.865612099213,2755.96005116,2755.86237792,0.0976732368213
0.05,33,3013.3125,8.25,37812500000,37.8125,2342.71084748,0.86562820438,2706.37074396,2706.25037943,0.120364525693
0.05,34,3104.625,8.5,38958333333.3,38.9583333333,2300.07715158,0.865739175593,2656.77841136,2656.63838095,0.140030413041
0.05,35,3195.9375,8.75,40104166666.7,40.1041666667,2257.67527893,0.865944433081,2607.1826236,2607.02638246,0.15624113919
0.05,36,3287.25,9,41250000000,41.25,2215.48941799,0.866243424306,2557.58295627,2557.41438397,0.168572296093
0.05,37,3378.5625,9.25,42395833333.3,42.3958333333,2173.5039336,0.86663562264,2507.97899003,2507.80238549,0.176604546018
0.05,38,3469.875,9.5,43541666666.7,43.5416666667,2131.70335688,0.867120526108,2458.37031035,2458.190387,0.179923347006
0.05,39,3561.1875,9.75,44687500000,44.6875,2090.07237568,0.867697656213,2408.7565072,2408.57838851,0.178118681491
0.05,40,3652.5,10,45833333333.3,45.8333333333,2048.5958256,0.868366556836,2359.13717482,2358.96639003,0.170784789973
0.05,41,3743.8125,10.25,46979166666.7,46.9791666667,2007.25868148,0.869126793213,2309.51191145,2309.35439154,0.157519908755
0.05,42,3835.125,10.5,48125000000,48.125,1966.04604943,0.869977950975,2259.88031907,2259.74239305,0.137926011463
0.05,43,3926.4375,10.75,49270833333.3,49.2708333333,1924.94315922,0.870919635271,2210.24200312,2210.13039457,0.111608554155
0.05,44,4017.75,11,50416666666.7,50.4166666667,1883.93535719,0.871951469952,2160.59657231,2160.51839608,0.0781762236788
0.05,45,4109.0625,11.25,51562500000,51.5625,1843.00809949,0.873073096822,2110.94363828,2110.90639759,0.0372406895708
0.05,46,4200.375,11.5,52708333333.3,52.7083333333,1802.14694568,0.874284174959,2061.28281547,2061.29439911,-0.0115836423356
0.05,47,4291.6875,11.75,53854166666.7,53.8541666667,1761.33755267,0.875584380093,2011.61372075,2011.68240062,-0.0686798720983
0.05,48,4383,12,55000000000,55,1720.56566902,0.876973404049,1961.93597329,1962.07040214,-0.134428846544
0.2,0,0,0,0,0,4000,0.920768835948,4344.19568065,4341.23689246,2.95878818605
0.2,1,91.3125,0.25,1145833333.33,1.14583333333,3938.79332976,0.917182067855,4294.45087056,4292.11429879,2.33657177175
0.2,2,182.625,0.5,2291666666.67,2.29166666667,3878.60767981,0.913738290198,4244.76868422,4242.99170512,1.77697909982
0.2,3,273.9375,0.75,3437500000,3.4375,3819.40476673,0.910434332083,4195.14580254,4193.86911145,1.27669108551
0.2,4,365.25,1,4583333333.33,4.58333333333,3761.14776581,0.907267178703,4145.57900264,4144.74651778,0.832484859398
